I_D	FLAG_TSUNAMI	YEAR	MONTH	DAY	HOUR	MINUTE	SECOND	FOCAL_DEPTH	EQ_PRIMARY	EQ_MAG_MW	EQ_MAG_MS	EQ_MAG_MB	EQ_MAG_ML	EQ_MAG_MFA	EQ_MAG_UNK	INTENSITY	COUNTRY	STATE	LOCATION_NAME	LATITUDE	LONGITUDE	REGION_CODE	DEATHS	DEATHS_DESCRIPTION	MISSING	MISSING_DESCRIPTION	INJURIES	INJURIES_DESCRIPTION	DAMAGE_MILLIONS_DOLLARS	DAMAGE_DESCRIPTION	HOUSES_DESTROYED	HOUSES_DESTROYED_DESCRIPTION	HOUSES_DAMAGED	HOUSES_DAMAGED_DESCRIPTION	TOTAL_DEATHS	TOTAL_DEATHS_DESCRIPTION	TOTAL_MISSING	TOTAL_MISSING_DESCRIPTION	TOTAL_INJURIES	TOTAL_INJURIES_DESCRIPTION	TOTAL_DAMAGE_MILLIONS_DOLLARS	TOTAL_DAMAGE_DESCRIPTION	TOTAL_HOUSES_DESTROYED	TOTAL_HOUSES_DESTROYED_DESCRIPTION	TOTAL_HOUSES_DAMAGED	TOTAL_HOUSES_DAMAGED_DESCRIPTION
6558	Tsu	1840	2	14													INDONESIA		INDONESIA:  MALUKU:  TERNATE ISLAND	    .800	  127.325	170								2		3										2		3		
6052	Tsu	1841	11	26													INDONESIA		INDONESIA:  N. MOLUCCAS ISLANDS	  -5.000	  130.000	170																								
6053	Tsu	1841	12	16					 6.0		 6.0					8	INDONESIA		INDONESIA:  BANDA SEA	  -4.000	  127.500	170																				2		3		
6054	Tsu	1843	1	5				70	 7.3		 7.3						INDONESIA		SW. SUMATRA	   1.500	   98.000	60		3						3		3				3						3		3		
6055	Tsu	1843	2	7					 6.0		 6.0						INDONESIA		INDONESIA:  JAVA:  GENTENG ISLAND	  -7.200	  114.000	60																								
1865	Tsu	1845	2	8	7	30			 7.0		 7.0					9	INDONESIA		INDONESIA:  N SULAWESI:  MENADO, TIKALA, TOMOHON	   1.480	  124.850	170	     118	3						2		3			     118	3						2		3		
6057	Tsu	1846	1	25	0	0			 7.3		 7.3						INDONESIA		INDONESIA:  N. MOLUCCAS ISLANDS	   2.000	  126.500	170																								
1891		1847	11	16													INDONESIA		INDONESIA:  JAVA:  CHERIBON	  -6.670	  108.550	60								2												2				
9907	Tsu	1852	1	9				150	 6.5		 6.5					8	INDONESIA		INDONESIA:  JAVA: DJAKARTA; SUMATRA: TELUKBETUNG	  -6.500	  105.500	60								1				1								1				1
6066	Tsu	1852	11	11	0	0			 6.8		 6.8						INDONESIA		INDONESIA:  SUMATRA:  SIBOLGA	   1.500	   98.000	60																								
9882	Tsu	1852	11	19													INDONESIA		INDONESIA:  AMBON ISLAND	  -3.700	  128.200	170																								
1934	Tsu	1852	11	25	22	40		100	 8.3		 8.3					9	INDONESIA		INDONESIA:  MALUKU:  BANDANAIRA	  -5.250	  129.750	170								3		3			      60	2						3		3		
9883	Tsu	1852	12	24					 7.0		 7.0						INDONESIA		INDONESIA:  BANDANEIRA	  -5.000	  130.500	170								1		1				1						1		2		
6115	Tsu	1854	1	4					 6.0		 6.0						INDONESIA		INDONESIA:  BANDA SEA	  -3.500	  128.600	170																								
6644	Tsu	1854	9	27													INDONESIA		INDONESIA:  MALUKU:  TERNATE ISLAND	    .800	  127.400	170																								
1985		1855	7	14												9	INDONESIA		INDONESIA:  MALUKU:  TERNATE ISLAND	    .800	  127.300	170	      34	1						2	1	1		2	      34	1						2	1	1		2
1995	Tsu	1856	3	2													INDONESIA		INDONESIA:  SANGIHE PULAU (VOLCANIC)	   3.670	  125.500	170													    2806	4				2		3		3		
6123	Tsu	1856	7	25													INDONESIA		INDONESIA:  LOMBOK ISLAND	  -8.500	  116.000	60																								
6126	Tsu	1857	5	13				50	 7.0		 7.0						INDONESIA		INDONESIA:  TIMOR ISLAND::  DILHI, GERA	  -8.000	  115.500	60	      36	1						2		2			      36	1						2		2		
6127	Tsu	1857	11	17													INDONESIA		INDONESIA:  SULAWESI ISLAND:  KEMA	   1.350	  125.200	170																				2		3		
6128	Tsu	1857	11	18													INDONESIA		INDONESIA:  SULAWESI ISLAND:  KEMA	   1.350	  125.200	170																								
6131	Tsu	1858	12	13					 7.3		 7.3						INDONESIA		INDONESIA:  N. MOLUCCAS ISLANDS	   1.000	  126.000	170								1	15	1										3		3		
6132	Tsu	1859	6	28					 7.0		 7.0						INDONESIA		INDONESIA:  N. MOLUCCAS ISLANDS	   1.000	  126.500	170																								
6133	Tsu	1859	7	20													INDONESIA		INDONESIA:  LONTHOR ISLAND	  -4.600	  129.900	170																								
6561	Tsu	1859	7	29					 7.3		 7.3						INDONESIA		INDONESIA:  SULAWESI	    .009	  125.500	170																				2		2		
6136	Tsu	1859	9	25					 6.8		 6.8						INDONESIA		INDONESIA:  NEIRA I, LONTHOR I	  -5.500	  130.500	170																								
6137	Tsu	1859	10	20													INDONESIA		S. JAVA SEA	  -9.000	  111.000	60													       2	1						1				
6551	Tsu	1859	12	17													INDONESIA		INDONESIA:  SULAWESI:  MANADO, BELANG	    .900	  124.900	170																								
6535	Tsu	1860	8														INDONESIA		INDONESIA:  SULAWESI:  MINAHASSA	   1.300	  121.000	170																								
6140	Tsu	1860	10	6													INDONESIA		INDONESIA: HALMAHERA ISLAND	  -1.250	  128.500	170																								
2043	Tsu	1861	2	16				70	 8.5		 8.5					9	INDONESIA		INDONESIA:  LAGUNDI, SIMUK, TELLO I	  -1.000	   97.500	60		3						2					    1105	4						2				
6142	Tsu	1861	3	9				20	 7.0		 7.0						INDONESIA		INDONESIA:  SW. SUMATRA	    .009	   98.000	60		3						2	96	2			     950	3						3	96	2		
6143	Tsu	1861	4	26				70	 7.0		 7.0						INDONESIA		INDONESIA:  SW. SUMATRA	   1.000	   97.500	60																								
6144	Tsu	1861	6	17					 6.8		 6.8						INDONESIA		INDONESIA:  SW. SUMATRA	   1.000	   97.500	60																								
6145	Tsu	1861	9	25					 6.5		 6.5						INDONESIA		INDONESIA:  SW. SUMATRA	  -1.500	  100.000	60																				1		1		
6149	Tsu	1863	3	16													INDONESIA		INDONESIA:  JAVA	  -6.100	  106.700	60																								
2076		1863	7	31													INDONESIA		INDONESIA:  JAVA:  BANYUMAS	  -7.500	  109.300	60								2		3										2		3		
2086	Tsu	1864	5	23					 7.8		 7.8					7	INDONESIA		INDONESIA:   IRIAN JAYA:  MANOKWARI	  -1.000	  135.000	170								3		3			     250	3						3		3		
2094		1865	7	16													INDONESIA		INDONESIA:  JAVA:  AMBARAWA	  -7.200	  110.300	60								2												2				
2117		1867	6	10												9	INDONESIA		INDONESIA:  JAVA:  JOGYAKARTA, SURAKARTA	  -7.800	  110.400	60	       5	1						3	372	3			       5	1						3	372	3		
6172	Tsu	1871	8	25													INDONESIA		INDONESIA:  GORONTALO	    .500	  123.000	170																								
